hourly_id,dt,pop,uvi,temp,clouds,humidity,pressure,wind_deg,dew_point,wind_gust,feels_like,visibility,wind_speed,rain.1h,weather.id,weather.icon,weather.main,weather.description,fact_id
1,1729180800,0.0,0.21,290.65,20,67,1012,218,284.46,4.19,290.21,10000,2.22,,801,02d,Clouds,few clouds,1
2,1729184400,0.0,0.0,290.28,34,68,1012,210,284.33,4.33,289.82,10000,1.99,,802,03d,Clouds,scattered clouds,1
3,1729188000,0.0,0.0,289.61,46,71,1012,213,284.34,5.5,289.17,10000,1.97,,802,03n,Clouds,scattered clouds,1
4,1729191600,0.0,0.0,288.81,63,75,1013,224,284.4,6.26,288.39,10000,2.25,,803,04n,Clouds,broken clouds,1
5,1729195200,0.0,0.0,287.84,81,80,1014,226,284.43,5.22,287.45,10000,1.97,,803,04n,Clouds,broken clouds,1
6,1729198800,0.0,0.0,286.54,68,86,1015,236,284.22,5.15,286.18,10000,1.82,,803,04n,Clouds,broken clouds,1
7,1729202400,0.0,0.0,286.13,63,88,1015,217,284.16,2.43,285.78,10000,1.36,,803,04n,Clouds,broken clouds,1
8,1729206000,0.0,0.0,285.8,52,89,1015,246,284.05,3.05,285.44,10000,1.62,,803,04n,Clouds,broken clouds,1
9,1729209600,0.0,0.0,285.48,43,90,1015,259,283.87,3.93,285.12,10000,1.76,,802,03n,Clouds,scattered clouds,1
10,1729213200,0.0,0.0,285.18,0,91,1015,244,283.69,2.86,284.81,10000,1.49,,800,01n,Clear,clear sky,1
11,1729216800,0.0,0.0,284.9,0,91,1015,242,283.39,1.96,284.51,10000,1.43,,800,01n,Clear,clear sky,1
12,1729220400,0.0,0.0,284.57,0,91,1016,265,283.2,3.89,284.14,10000,1.89,,800,01n,Clear,clear sky,1
13,1729224000,0.0,0.0,284.31,0,92,1016,269,282.95,4.2,283.88,10000,1.53,,800,01n,Clear,clear sky,1
14,1729227600,0.0,0.0,284.12,0,92,1016,263,282.75,0.84,283.67,10000,0.82,,800,01n,Clear,clear sky,1
15,1729231200,0.0,0.0,283.99,15,92,1015,133,282.61,2.02,283.53,10000,1.78,,801,02n,Clouds,few clouds,1
16,1729234800,0.0,0.0,283.91,9,92,1015,203,282.64,1.31,283.44,10000,0.64,,800,01d,Clear,clear sky,1
17,1729238400,0.0,0.21,284.83,6,87,1016,213,282.59,2.07,284.33,10000,1.28,,800,01d,Clear,clear sky,1
18,1729242000,0.0,0.6,286.19,4,78,1016,228,282.3,3.24,285.59,10000,2.01,,800,01d,Clear,clear sky,1
19,1729245600,0.0,1.13,287.27,3,71,1016,240,281.96,4.55,286.59,10000,2.68,,800,01d,Clear,clear sky,1
