minutely_id,dt,precipitation,fact_id
1,1729181700,0,1
2,1729181760,0,1
3,1729181820,0,1
4,1729181880,0,1
5,1729181940,0,1
6,1729182000,0,1
7,1729182060,0,1
8,1729182120,0,1
9,1729182180,0,1
10,1729182240,0,1
11,1729182300,0,1
12,1729182360,0,1
13,1729182420,0,1
14,1729182480,0,1
15,1729182540,0,1
16,1729182600,0,1
17,1729182660,0,1
18,1729182720,0,1
19,1729182780,0,1
20,1729182840,0,1
21,1729182900,0,1
22,1729182960,0,1
23,1729183020,0,1
24,1729183080,0,1
25,1729183140,0,1
26,1729183200,0,1
27,1729183260,0,1
28,1729183320,0,1
29,1729183380,0,1
30,1729183440,0,1
31,1729183500,0,1
32,1729183560,0,1
33,1729183620,0,1
34,1729183680,0,1
35,1729183740,0,1
36,1729183800,0,1
37,1729183860,0,1
38,1729183920,0,1
39,1729183980,0,1
40,1729184040,0,1
41,1729184100,0,1
42,1729184160,0,1
43,1729184220,0,1
44,1729184280,0,1
45,1729184340,0,1
46,1729184400,0,1
47,1729184460,0,1
48,1729184520,0,1
49,1729184580,0,1
50,1729184640,0,1
51,1729184700,0,1
52,1729184760,0,1
53,1729184820,0,1
54,1729184880,0,1
55,1729184940,0,1
56,1729185000,0,1
57,1729185060,0,1
58,1729185120,0,1
59,1729185180,0,1
60,1729185240,0,1
